Cluster_size,Cluster_count,cell_type,growth_rate_H,growth_rate_I,growth_rate_C,seed,alpha,conditional_entropy,fractal_dimension
1.0,10.0,1.0,0.01,0.003,0.001,4,1.0,10.33881510489776,2.131119738691015
2.0,4.0,1.0,0.01,0.003,0.001,4,1.0,10.33881510489776,2.131119738691015
2279.0,1.0,1.0,0.01,0.003,0.001,4,1.0,10.33881510489776,2.131119738691015
1.0,25.0,2.0,0.01,0.003,0.001,4,1.0,10.33881510489776,2.131119738691015
6.0,1.0,2.0,0.01,0.003,0.001,4,1.0,10.33881510489776,2.131119738691015
64.0,1.0,2.0,0.01,0.003,0.001,4,1.0,10.33881510489776,2.131119738691015
270.0,1.0,2.0,0.01,0.003,0.001,4,1.0,10.33881510489776,2.131119738691015
321.0,1.0,2.0,0.01,0.003,0.001,4,1.0,10.33881510489776,2.131119738691015
253.0,1.0,3.0,0.01,0.003,0.001,4,1.0,10.33881510489776,2.131119738691015
1.0,6.0,1.0,0.01,0.003,0.001,4,1.125,10.764535308054203,2.1329323085122116
2.0,3.0,1.0,0.01,0.003,0.001,4,1.125,10.764535308054203,2.1329323085122116
2380.0,1.0,1.0,0.01,0.003,0.001,4,1.125,10.764535308054203,2.1329323085122116
1.0,14.0,2.0,0.01,0.003,0.001,4,1.125,10.764535308054203,2.1329323085122116
2.0,1.0,2.0,0.01,0.003,0.001,4,1.125,10.764535308054203,2.1329323085122116
7.0,1.0,2.0,0.01,0.003,0.001,4,1.125,10.764535308054203,2.1329323085122116
15.0,1.0,2.0,0.01,0.003,0.001,4,1.125,10.764535308054203,2.1329323085122116
104.0,1.0,2.0,0.01,0.003,0.001,4,1.125,10.764535308054203,2.1329323085122116
105.0,1.0,2.0,0.01,0.003,0.001,4,1.125,10.764535308054203,2.1329323085122116
140.0,1.0,2.0,0.01,0.003,0.001,4,1.125,10.764535308054203,2.1329323085122116
151.0,1.0,2.0,0.01,0.003,0.001,4,1.125,10.764535308054203,2.1329323085122116
235.0,1.0,2.0,0.01,0.003,0.001,4,1.125,10.764535308054203,2.1329323085122116
253.0,1.0,3.0,0.01,0.003,0.001,4,1.125,10.764535308054203,2.1329323085122116
1.0,16.0,1.0,0.01,0.003,0.001,4,1.25,13.76281546202805,2.1369135517759594
2.0,3.0,1.0,0.01,0.003,0.001,4,1.25,13.76281546202805,2.1369135517759594
4.0,1.0,1.0,0.01,0.003,0.001,4,1.25,13.76281546202805,2.1369135517759594
2417.0,1.0,1.0,0.01,0.003,0.001,4,1.25,13.76281546202805,2.1369135517759594
1.0,18.0,2.0,0.01,0.003,0.001,4,1.25,13.76281546202805,2.1369135517759594
22.0,1.0,2.0,0.01,0.003,0.001,4,1.25,13.76281546202805,2.1369135517759594
67.0,1.0,2.0,0.01,0.003,0.001,4,1.25,13.76281546202805,2.1369135517759594
74.0,1.0,2.0,0.01,0.003,0.001,4,1.25,13.76281546202805,2.1369135517759594
134.0,1.0,2.0,0.01,0.003,0.001,4,1.25,13.76281546202805,2.1369135517759594
135.0,1.0,2.0,0.01,0.003,0.001,4,1.25,13.76281546202805,2.1369135517759594
155.0,1.0,2.0,0.01,0.003,0.001,4,1.25,13.76281546202805,2.1369135517759594
177.0,1.0,2.0,0.01,0.003,0.001,4,1.25,13.76281546202805,2.1369135517759594
1.0,3.0,3.0,0.01,0.003,0.001,4,1.25,13.76281546202805,2.1369135517759594
2.0,2.0,3.0,0.01,0.003,0.001,4,1.25,13.76281546202805,2.1369135517759594
49.0,1.0,3.0,0.01,0.003,0.001,4,1.25,13.76281546202805,2.1369135517759594
197.0,1.0,3.0,0.01,0.003,0.001,4,1.25,13.76281546202805,2.1369135517759594
1.0,19.0,1.0,0.01,0.003,0.001,4,1.375,13.017468479800403,2.13534713803775
2.0,3.0,1.0,0.01,0.003,0.001,4,1.375,13.017468479800403,2.13534713803775
3.0,1.0,1.0,0.01,0.003,0.001,4,1.375,13.017468479800403,2.13534713803775
2350.0,1.0,1.0,0.01,0.003,0.001,4,1.375,13.017468479800403,2.13534713803775
1.0,16.0,2.0,0.01,0.003,0.001,4,1.375,13.017468479800403,2.13534713803775
4.0,2.0,2.0,0.01,0.003,0.001,4,1.375,13.017468479800403,2.13534713803775
13.0,1.0,2.0,0.01,0.003,0.001,4,1.375,13.017468479800403,2.13534713803775
60.0,1.0,2.0,0.01,0.003,0.001,4,1.375,13.017468479800403,2.13534713803775
68.0,1.0,2.0,0.01,0.003,0.001,4,1.375,13.017468479800403,2.13534713803775
129.0,1.0,2.0,0.01,0.003,0.001,4,1.375,13.017468479800403,2.13534713803775
145.0,1.0,2.0,0.01,0.003,0.001,4,1.375,13.017468479800403,2.13534713803775
153.0,1.0,2.0,0.01,0.003,0.001,4,1.375,13.017468479800403,2.13534713803775
171.0,1.0,2.0,0.01,0.003,0.001,4,1.375,13.017468479800403,2.13534713803775
122.0,1.0,3.0,0.01,0.003,0.001,4,1.375,13.017468479800403,2.13534713803775
131.0,1.0,3.0,0.01,0.003,0.001,4,1.375,13.017468479800403,2.13534713803775
1.0,32.0,1.0,0.01,0.003,0.001,4,1.5,15.28123554397877,2.1332666573790147
2.0,6.0,1.0,0.01,0.003,0.001,4,1.5,15.28123554397877,2.1332666573790147
3.0,1.0,1.0,0.01,0.003,0.001,4,1.5,15.28123554397877,2.1332666573790147
4.0,1.0,1.0,0.01,0.003,0.001,4,1.5,15.28123554397877,2.1332666573790147
2305.0,1.0,1.0,0.01,0.003,0.001,4,1.5,15.28123554397877,2.1332666573790147
1.0,22.0,2.0,0.01,0.003,0.001,4,1.5,15.28123554397877,2.1332666573790147
2.0,3.0,2.0,0.01,0.003,0.001,4,1.5,15.28123554397877,2.1332666573790147
4.0,1.0,2.0,0.01,0.003,0.001,4,1.5,15.28123554397877,2.1332666573790147
5.0,1.0,2.0,0.01,0.003,0.001,4,1.5,15.28123554397877,2.1332666573790147
6.0,1.0,2.0,0.01,0.003,0.001,4,1.5,15.28123554397877,2.1332666573790147
19.0,1.0,2.0,0.01,0.003,0.001,4,1.5,15.28123554397877,2.1332666573790147
35.0,1.0,2.0,0.01,0.003,0.001,4,1.5,15.28123554397877,2.1332666573790147
66.0,1.0,2.0,0.01,0.003,0.001,4,1.5,15.28123554397877,2.1332666573790147
73.0,1.0,2.0,0.01,0.003,0.001,4,1.5,15.28123554397877,2.1332666573790147
97.0,1.0,2.0,0.01,0.003,0.001,4,1.5,15.28123554397877,2.1332666573790147
175.0,1.0,2.0,0.01,0.003,0.001,4,1.5,15.28123554397877,2.1332666573790147
238.0,1.0,2.0,0.01,0.003,0.001,4,1.5,15.28123554397877,2.1332666573790147
109.0,1.0,3.0,0.01,0.003,0.001,4,1.5,15.28123554397877,2.1332666573790147
144.0,1.0,3.0,0.01,0.003,0.001,4,1.5,15.28123554397877,2.1332666573790147
1.0,33.0,1.0,0.01,0.003,0.001,4,1.625,13.952375940267437,2.13290212398035
2.0,5.0,1.0,0.01,0.003,0.001,4,1.625,13.952375940267437,2.13290212398035
3.0,1.0,1.0,0.01,0.003,0.001,4,1.625,13.952375940267437,2.13290212398035
4.0,2.0,1.0,0.01,0.003,0.001,4,1.625,13.952375940267437,2.13290212398035
2299.0,1.0,1.0,0.01,0.003,0.001,4,1.625,13.952375940267437,2.13290212398035
1.0,28.0,2.0,0.01,0.003,0.001,4,1.625,13.952375940267437,2.13290212398035
2.0,2.0,2.0,0.01,0.003,0.001,4,1.625,13.952375940267437,2.13290212398035
4.0,1.0,2.0,0.01,0.003,0.001,4,1.625,13.952375940267437,2.13290212398035
5.0,1.0,2.0,0.01,0.003,0.001,4,1.625,13.952375940267437,2.13290212398035
6.0,1.0,2.0,0.01,0.003,0.001,4,1.625,13.952375940267437,2.13290212398035
9.0,1.0,2.0,0.01,0.003,0.001,4,1.625,13.952375940267437,2.13290212398035
46.0,1.0,2.0,0.01,0.003,0.001,4,1.625,13.952375940267437,2.13290212398035
62.0,1.0,2.0,0.01,0.003,0.001,4,1.625,13.952375940267437,2.13290212398035
111.0,1.0,2.0,0.01,0.003,0.001,4,1.625,13.952375940267437,2.13290212398035
177.0,1.0,2.0,0.01,0.003,0.001,4,1.625,13.952375940267437,2.13290212398035
302.0,1.0,2.0,0.01,0.003,0.001,4,1.625,13.952375940267437,2.13290212398035
73.0,1.0,3.0,0.01,0.003,0.001,4,1.625,13.952375940267437,2.13290212398035
180.0,1.0,3.0,0.01,0.003,0.001,4,1.625,13.952375940267437,2.13290212398035
1.0,45.0,1.0,0.01,0.003,0.001,4,1.75,15.43942956430155,2.114919679943792
