Cluster_size,Cluster_count,cell_type,growth_rate_H,growth_rate_I,growth_rate_C,seed,alpha,conditional_entropy,fractal_dimension
1.0,15.0,1.0,0.01,0.003,0.0001,4,1.0,8.300141791454909,2.119123362651696
2.0,1.0,1.0,0.01,0.003,0.0001,4,1.0,8.300141791454909,2.119123362651696
2233.0,1.0,1.0,0.01,0.003,0.0001,4,1.0,8.300141791454909,2.119123362651696
1.0,15.0,2.0,0.01,0.003,0.0001,4,1.0,8.300141791454909,2.119123362651696
2.0,1.0,2.0,0.01,0.003,0.0001,4,1.0,8.300141791454909,2.119123362651696
211.0,1.0,2.0,0.01,0.003,0.0001,4,1.0,8.300141791454909,2.119123362651696
576.0,1.0,2.0,0.01,0.003,0.0001,4,1.0,8.300141791454909,2.119123362651696
1.0,3.0,3.0,0.01,0.003,0.0001,4,1.0,8.300141791454909,2.119123362651696
1.0,10.0,1.0,0.01,0.003,0.0001,4,1.125,9.42950115766106,2.131093704730946
2443.0,1.0,1.0,0.01,0.003,0.0001,4,1.125,9.42950115766106,2.131093704730946
1.0,12.0,2.0,0.01,0.003,0.0001,4,1.125,9.42950115766106,2.131093704730946
11.0,1.0,2.0,0.01,0.003,0.0001,4,1.125,9.42950115766106,2.131093704730946
63.0,1.0,2.0,0.01,0.003,0.0001,4,1.125,9.42950115766106,2.131093704730946
102.0,1.0,2.0,0.01,0.003,0.0001,4,1.125,9.42950115766106,2.131093704730946
118.0,1.0,2.0,0.01,0.003,0.0001,4,1.125,9.42950115766106,2.131093704730946
158.0,1.0,2.0,0.01,0.003,0.0001,4,1.125,9.42950115766106,2.131093704730946
340.0,1.0,2.0,0.01,0.003,0.0001,4,1.125,9.42950115766106,2.131093704730946
1.0,3.0,3.0,0.01,0.003,0.0001,4,1.125,9.42950115766106,2.131093704730946
1.0,17.0,1.0,0.01,0.003,0.0001,4,1.25,10.415099883195918,2.133108745924432
2.0,3.0,1.0,0.01,0.003,0.0001,4,1.25,10.415099883195918,2.133108745924432
3.0,1.0,1.0,0.01,0.003,0.0001,4,1.25,10.415099883195918,2.133108745924432
2454.0,1.0,1.0,0.01,0.003,0.0001,4,1.25,10.415099883195918,2.133108745924432
1.0,16.0,2.0,0.01,0.003,0.0001,4,1.25,10.415099883195918,2.133108745924432
7.0,1.0,2.0,0.01,0.003,0.0001,4,1.25,10.415099883195918,2.133108745924432
45.0,1.0,2.0,0.01,0.003,0.0001,4,1.25,10.415099883195918,2.133108745924432
93.0,1.0,2.0,0.01,0.003,0.0001,4,1.25,10.415099883195918,2.133108745924432
117.0,1.0,2.0,0.01,0.003,0.0001,4,1.25,10.415099883195918,2.133108745924432
119.0,2.0,2.0,0.01,0.003,0.0001,4,1.25,10.415099883195918,2.133108745924432
288.0,1.0,2.0,0.01,0.003,0.0001,4,1.25,10.415099883195918,2.133108745924432
1.0,3.0,3.0,0.01,0.003,0.0001,4,1.25,10.415099883195918,2.133108745924432
1.0,23.0,1.0,0.01,0.003,0.0001,4,1.375,10.864770070957684,2.1339013803927784
2.0,3.0,1.0,0.01,0.003,0.0001,4,1.375,10.864770070957684,2.1339013803927784
