Cluster_size,Cluster_count,cell_type,growth_rate_H,growth_rate_I,growth_rate_C,seed,alpha,conditional_entropy,fractal_dimension
1.0,7.0,1.0,0.01,0.003,0.0007,4,2.0,,[1.45163861 1.04389859]
2.0,3.0,1.0,0.01,0.003,0.0007,4,2.0,,[1.45163861 1.04389859]
3.0,1.0,1.0,0.01,0.003,0.0007,4,2.0,,[1.45163861 1.04389859]
14.0,2.0,1.0,0.01,0.003,0.0007,4,2.0,,[1.45163861 1.04389859]
19.0,1.0,1.0,0.01,0.003,0.0007,4,2.0,,[1.45163861 1.04389859]
1.0,6.0,2.0,0.01,0.003,0.0007,4,2.0,,[1.45163861 1.04389859]
2.0,1.0,2.0,0.01,0.003,0.0007,4,2.0,,[1.45163861 1.04389859]
3.0,2.0,2.0,0.01,0.003,0.0007,4,2.0,,[1.45163861 1.04389859]
1.0,3.0,3.0,0.01,0.003,0.0007,4,2.0,,[1.45163861 1.04389859]
1.0,8.0,1.0,0.01,0.003,0.0007,4,2.2,,[1.45237539 1.03634543]
2.0,4.0,1.0,0.01,0.003,0.0007,4,2.2,,[1.45237539 1.03634543]
3.0,2.0,1.0,0.01,0.003,0.0007,4,2.2,,[1.45237539 1.03634543]
13.0,1.0,1.0,0.01,0.003,0.0007,4,2.2,,[1.45237539 1.03634543]
14.0,2.0,1.0,0.01,0.003,0.0007,4,2.2,,[1.45237539 1.03634543]
1.0,6.0,2.0,0.01,0.003,0.0007,4,2.2,,[1.45237539 1.03634543]
2.0,1.0,2.0,0.01,0.003,0.0007,4,2.2,,[1.45237539 1.03634543]
3.0,2.0,2.0,0.01,0.003,0.0007,4,2.2,,[1.45237539 1.03634543]
1.0,3.0,3.0,0.01,0.003,0.0007,4,2.2,,[1.45237539 1.03634543]
