Cluster_size,Cluster_count,cell_type,growth_rate_H,growth_rate_I,growth_rate_C,seed,alpha,conditional_entropy,fractal_dimension
1.0,9.0,1.0,0.01,0.003,0.00148,4,1.0,10.62221842298732,2.1464622679190732
2543.0,1.0,1.0,0.01,0.003,0.00148,4,1.0,10.62221842298732,2.1464622679190732
1.0,7.0,2.0,0.01,0.003,0.00148,4,1.0,10.62221842298732,2.1464622679190732
3.0,2.0,2.0,0.01,0.003,0.00148,4,1.0,10.62221842298732,2.1464622679190732
13.0,1.0,2.0,0.01,0.003,0.00148,4,1.0,10.62221842298732,2.1464622679190732
37.0,1.0,2.0,0.01,0.003,0.00148,4,1.0,10.62221842298732,2.1464622679190732
68.0,1.0,2.0,0.01,0.003,0.00148,4,1.0,10.62221842298732,2.1464622679190732
76.0,1.0,2.0,0.01,0.003,0.00148,4,1.0,10.62221842298732,2.1464622679190732
233.0,1.0,2.0,0.01,0.003,0.00148,4,1.0,10.62221842298732,2.1464622679190732
328.0,1.0,2.0,0.01,0.003,0.00148,4,1.0,10.62221842298732,2.1464622679190732
1.0,3.0,3.0,0.01,0.003,0.00148,4,1.0,10.62221842298732,2.1464622679190732
400.0,1.0,3.0,0.01,0.003,0.00148,4,1.0,10.62221842298732,2.1464622679190732
1.0,11.0,1.0,0.01,0.003,0.00148,4,1.125,11.835069964522743,2.1473782043519467
3.0,1.0,1.0,0.01,0.003,0.00148,4,1.125,11.835069964522743,2.1473782043519467
2491.0,1.0,1.0,0.01,0.003,0.00148,4,1.125,11.835069964522743,2.1473782043519467
1.0,13.0,2.0,0.01,0.003,0.00148,4,1.125,11.835069964522743,2.1473782043519467
2.0,2.0,2.0,0.01,0.003,0.00148,4,1.125,11.835069964522743,2.1473782043519467
4.0,1.0,2.0,0.01,0.003,0.00148,4,1.125,11.835069964522743,2.1473782043519467
27.0,1.0,2.0,0.01,0.003,0.00148,4,1.125,11.835069964522743,2.1473782043519467
29.0,1.0,2.0,0.01,0.003,0.00148,4,1.125,11.835069964522743,2.1473782043519467
37.0,1.0,2.0,0.01,0.003,0.00148,4,1.125,11.835069964522743,2.1473782043519467
43.0,1.0,2.0,0.01,0.003,0.00148,4,1.125,11.835069964522743,2.1473782043519467
104.0,1.0,2.0,0.01,0.003,0.00148,4,1.125,11.835069964522743,2.1473782043519467
230.0,1.0,2.0,0.01,0.003,0.00148,4,1.125,11.835069964522743,2.1473782043519467
269.0,1.0,2.0,0.01,0.003,0.00148,4,1.125,11.835069964522743,2.1473782043519467
1.0,3.0,3.0,0.01,0.003,0.00148,4,1.125,11.835069964522743,2.1473782043519467
400.0,1.0,3.0,0.01,0.003,0.00148,4,1.125,11.835069964522743,2.1473782043519467
1.0,19.0,1.0,0.01,0.003,0.00148,4,1.25,12.814174325766736,2.1461806271891355
2.0,3.0,1.0,0.01,0.003,0.00148,4,1.25,12.814174325766736,2.1461806271891355
2483.0,1.0,1.0,0.01,0.003,0.00148,4,1.25,12.814174325766736,2.1461806271891355
1.0,14.0,2.0,0.01,0.003,0.00148,4,1.25,12.814174325766736,2.1461806271891355
2.0,2.0,2.0,0.01,0.003,0.00148,4,1.25,12.814174325766736,2.1461806271891355
10.0,1.0,2.0,0.01,0.003,0.00148,4,1.25,12.814174325766736,2.1461806271891355
37.0,1.0,2.0,0.01,0.003,0.00148,4,1.25,12.814174325766736,2.1461806271891355
50.0,1.0,2.0,0.01,0.003,0.00148,4,1.25,12.814174325766736,2.1461806271891355
70.0,1.0,2.0,0.01,0.003,0.00148,4,1.25,12.814174325766736,2.1461806271891355
176.0,1.0,2.0,0.01,0.003,0.00148,4,1.25,12.814174325766736,2.1461806271891355
205.0,1.0,2.0,0.01,0.003,0.00148,4,1.25,12.814174325766736,2.1461806271891355
220.0,1.0,2.0,0.01,0.003,0.00148,4,1.25,12.814174325766736,2.1461806271891355
1.0,7.0,3.0,0.01,0.003,0.00148,4,1.25,12.814174325766736,2.1461806271891355
