Cluster_size,Cluster_count,cell_type,growth_rate_H,growth_rate_I,growth_rate_C,seed,alpha,conditional_entropy,fractal_dimension
1.0,16.0,1.0,0.01,0.003,0.0013,4,1.0,10.721076172076046,2.1359180402980678
2.0,1.0,1.0,0.01,0.003,0.0013,4,1.0,10.721076172076046,2.1359180402980678
242.0,1.0,1.0,0.01,0.003,0.0013,4,1.0,10.721076172076046,2.1359180402980678
2163.0,1.0,1.0,0.01,0.003,0.0013,4,1.0,10.721076172076046,2.1359180402980678
1.0,11.0,2.0,0.01,0.003,0.0013,4,1.0,10.721076172076046,2.1359180402980678
2.0,2.0,2.0,0.01,0.003,0.0013,4,1.0,10.721076172076046,2.1359180402980678
5.0,1.0,2.0,0.01,0.003,0.0013,4,1.0,10.721076172076046,2.1359180402980678
12.0,1.0,2.0,0.01,0.003,0.0013,4,1.0,10.721076172076046,2.1359180402980678
34.0,1.0,2.0,0.01,0.003,0.0013,4,1.0,10.721076172076046,2.1359180402980678
118.0,1.0,2.0,0.01,0.003,0.0013,4,1.0,10.721076172076046,2.1359180402980678
603.0,1.0,2.0,0.01,0.003,0.0013,4,1.0,10.721076172076046,2.1359180402980678
1.0,2.0,3.0,0.01,0.003,0.0013,4,1.0,10.721076172076046,2.1359180402980678
351.0,1.0,3.0,0.01,0.003,0.0013,4,1.0,10.721076172076046,2.1359180402980678
1.0,14.0,1.0,0.01,0.003,0.0013,4,1.125,10.613744950112332,2.1451475602933194
2.0,2.0,1.0,0.01,0.003,0.0013,4,1.125,10.613744950112332,2.1451475602933194
3.0,1.0,1.0,0.01,0.003,0.0013,4,1.125,10.613744950112332,2.1451475602933194
2481.0,1.0,1.0,0.01,0.003,0.0013,4,1.125,10.613744950112332,2.1451475602933194
1.0,12.0,2.0,0.01,0.003,0.0013,4,1.125,10.613744950112332,2.1451475602933194
2.0,2.0,2.0,0.01,0.003,0.0013,4,1.125,10.613744950112332,2.1451475602933194
57.0,1.0,2.0,0.01,0.003,0.0013,4,1.125,10.613744950112332,2.1451475602933194
150.0,1.0,2.0,0.01,0.003,0.0013,4,1.125,10.613744950112332,2.1451475602933194
551.0,1.0,2.0,0.01,0.003,0.0013,4,1.125,10.613744950112332,2.1451475602933194
1.0,1.0,3.0,0.01,0.003,0.0013,4,1.125,10.613744950112332,2.1451475602933194
2.0,1.0,3.0,0.01,0.003,0.0013,4,1.125,10.613744950112332,2.1451475602933194
88.0,1.0,3.0,0.01,0.003,0.0013,4,1.125,10.613744950112332,2.1451475602933194
262.0,1.0,3.0,0.01,0.003,0.0013,4,1.125,10.613744950112332,2.1451475602933194
1.0,21.0,1.0,0.01,0.003,0.0013,4,1.25,12.644452745444521,2.1449719916866186
2.0,2.0,1.0,0.01,0.003,0.0013,4,1.25,12.644452745444521,2.1449719916866186
3.0,1.0,1.0,0.01,0.003,0.0013,4,1.25,12.644452745444521,2.1449719916866186
2509.0,1.0,1.0,0.01,0.003,0.0013,4,1.25,12.644452745444521,2.1449719916866186
1.0,16.0,2.0,0.01,0.003,0.0013,4,1.25,12.644452745444521,2.1449719916866186
2.0,1.0,2.0,0.01,0.003,0.0013,4,1.25,12.644452745444521,2.1449719916866186
3.0,2.0,2.0,0.01,0.003,0.0013,4,1.25,12.644452745444521,2.1449719916866186
20.0,1.0,2.0,0.01,0.003,0.0013,4,1.25,12.644452745444521,2.1449719916866186
36.0,1.0,2.0,0.01,0.003,0.0013,4,1.25,12.644452745444521,2.1449719916866186
45.0,1.0,2.0,0.01,0.003,0.0013,4,1.25,12.644452745444521,2.1449719916866186
133.0,1.0,2.0,0.01,0.003,0.0013,4,1.25,12.644452745444521,2.1449719916866186
225.0,1.0,2.0,0.01,0.003,0.0013,4,1.25,12.644452745444521,2.1449719916866186
292.0,1.0,2.0,0.01,0.003,0.0013,4,1.25,12.644452745444521,2.1449719916866186
1.0,2.0,3.0,0.01,0.003,0.0013,4,1.25,12.644452745444521,2.1449719916866186
2.0,2.0,3.0,0.01,0.003,0.0013,4,1.25,12.644452745444521,2.1449719916866186
145.0,1.0,3.0,0.01,0.003,0.0013,4,1.25,12.644452745444521,2.1449719916866186
202.0,1.0,3.0,0.01,0.003,0.0013,4,1.25,12.644452745444521,2.1449719916866186
1.0,24.0,1.0,0.01,0.003,0.0013,4,1.375,12.536410727496216,2.1459388587720007
2.0,4.0,1.0,0.01,0.003,0.0013,4,1.375,12.536410727496216,2.1459388587720007
3.0,2.0,1.0,0.01,0.003,0.0013,4,1.375,12.536410727496216,2.1459388587720007
2557.0,1.0,1.0,0.01,0.003,0.0013,4,1.375,12.536410727496216,2.1459388587720007
1.0,20.0,2.0,0.01,0.003,0.0013,4,1.375,12.536410727496216,2.1459388587720007
2.0,2.0,2.0,0.01,0.003,0.0013,4,1.375,12.536410727496216,2.1459388587720007
4.0,1.0,2.0,0.01,0.003,0.0013,4,1.375,12.536410727496216,2.1459388587720007
6.0,1.0,2.0,0.01,0.003,0.0013,4,1.375,12.536410727496216,2.1459388587720007
11.0,1.0,2.0,0.01,0.003,0.0013,4,1.375,12.536410727496216,2.1459388587720007
20.0,1.0,2.0,0.01,0.003,0.0013,4,1.375,12.536410727496216,2.1459388587720007
37.0,1.0,2.0,0.01,0.003,0.0013,4,1.375,12.536410727496216,2.1459388587720007
174.0,1.0,2.0,0.01,0.003,0.0013,4,1.375,12.536410727496216,2.1459388587720007
185.0,1.0,2.0,0.01,0.003,0.0013,4,1.375,12.536410727496216,2.1459388587720007
326.0,1.0,2.0,0.01,0.003,0.0013,4,1.375,12.536410727496216,2.1459388587720007
1.0,5.0,3.0,0.01,0.003,0.0013,4,1.375,12.536410727496216,2.1459388587720007
2.0,3.0,3.0,0.01,0.003,0.0013,4,1.375,12.536410727496216,2.1459388587720007
